queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
organisation-3292,organisation,organisation:u-s-gold,U.S. Gold,assertion:wikipedia:list-of-zx-spectrum-games:scott-adams-scoops:publisher-as-printed:u-s-gold,U.S. Gold,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3293,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:scramble-spirits:developer-as-printed:teque-software-development-fred-orourke-matt-furniss-mark-edwards,"Teque Software Development (Fred O'Rourke, Matt Furniss, Mark Edwards)",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3294,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:scramble-spirits:licensed-from-as-printed:sega,Sega,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3295,organisation,organisation:grandslam-entertainment,Grandslam Entertainment,assertion:wikipedia:list-of-zx-spectrum-games:scramble-spirits:publisher-as-printed:grandslam-entertainment,Grandslam Entertainment,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3296,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:scuba-dive:developer-as-printed:mike-a-richardson,Mike A. Richardson,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3297,organisation,organisation:durell-software,Durell Software,assertion:wikipedia:list-of-zx-spectrum-games:scuba-dive:publisher-as-printed:durell-software,Durell Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3298,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:scuba-kidz:developer-as-printed:zeit-corporation-christian-pennycate,Zeit Corporation ( Christian Pennycate ),wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3299,organisation,organisation:silverbird-software,Silverbird Software,assertion:wikipedia:list-of-zx-spectrum-games:scuba-kidz:publisher-as-printed:silverbird-software,Silverbird Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3300,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:scumball:developer-as-printed:software-creations-peter-gough,Software Creations ( Peter Gough ),wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3301,organisation,organisation:bulldog,Bulldog,assertion:wikipedia:list-of-zx-spectrum-games:scumball:publisher-as-printed:bulldog,Bulldog,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3302,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:sdi:developer-as-printed:software-studios-source-software-ross-harris,"Software Studios , Source Software ( Ross Harris )",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3303,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:sdi:licensed-from-as-printed:sega,Sega,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3304,organisation,organisation:activision,Activision,assertion:wikipedia:list-of-zx-spectrum-games:sdi:publisher-as-printed:activision,Activision,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3305,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:seabase-delta:developer-as-printed:peter-torrance-colin-liddle,"Peter Torrance , Colin Liddle",wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3306,organisation,organisation:firebird-software,Firebird Software,assertion:wikipedia:list-of-zx-spectrum-games:seabase-delta:publisher-as-printed:firebird-software,Firebird Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3307,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:seahawk:developer-as-printed:the-shaw-brothers,The Shaw Brothers,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3308,organisation,organisation:atlantis-software,Atlantis Software,assertion:wikipedia:list-of-zx-spectrum-games:seahawk:publisher-as-printed:atlantis-software,Atlantis Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3309,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:seas-of-blood:developer-as-printed:mike-woodroffe-brian-howarth,"Mike Woodroffe, Brian Howarth",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3310,organisation,organisation:puffin-books,Puffin Books,assertion:wikipedia:list-of-zx-spectrum-games:seas-of-blood:licensed-from-as-printed:puffin-books,Puffin Books,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3311,organisation,organisation:adventure-international,Adventure International,assertion:wikipedia:list-of-zx-spectrum-games:seas-of-blood:publisher-as-printed:adventure-international,Adventure International,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3312,organisation,organisation:st-brides-school,St Bride's School,assertion:wikipedia:list-of-zx-spectrum-games:secret-of-st-brides-the:developer-as-printed:st-brides-school,St Bride's School,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3313,organisation,organisation:st-brides-school,St Bride's School,assertion:wikipedia:list-of-zx-spectrum-games:secret-of-st-brides-the:publisher-as-printed:st-brides-school,St Bride's School,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3314,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:senda-salvaje:developer-as-printed:gamesoft-francisco-javier-martinez-de-pison-cesar-diez-fernando-clavijo-blazquez,"Gamesoft (Francisco Javier Martinez de Pison, Cesar Diez, Fernando Clavijo Blazquez)",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3315,organisation,organisation:zigurat,Zigurat,assertion:wikipedia:list-of-zx-spectrum-games:senda-salvaje:publisher-as-printed:zigurat,Zigurat,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3316,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:sentinel-the:developer-as-printed:software-creations-mike-follin-geoff-crammond-tim-follin,"Software Creations ( Mike Follin , Geoff Crammond , Tim Follin )",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3317,organisation,organisation:firebird-software,Firebird Software,assertion:wikipedia:list-of-zx-spectrum-games:sentinel-the:publisher-as-printed:firebird-software,Firebird Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3318,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:sergeant-seymour-robot-cop:developer-as-printed:big-red-software-david-spicer-jason-brashill-allister-brimble,"Big Red Software ( David Spicer , Jason Brashill , Allister Brimble )",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3319,organisation,organisation:code-masters,Code Masters,assertion:wikipedia:list-of-zx-spectrum-games:sergeant-seymour-robot-cop:publisher-as-printed:codemasters,Codemasters,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3320,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:seymour-goes-to-hollywood:developer-as-printed:big-red-software-r-fred-williams-chris-graham-lyndon-sharp,"Big Red Software , R. Fred Williams , Chris Graham, Lyndon Sharp",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3321,organisation,organisation:code-masters,Code Masters,assertion:wikipedia:list-of-zx-spectrum-games:seymour-goes-to-hollywood:publisher-as-printed:codemasters,Codemasters,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3322,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shackled:developer-as-printed:choice-software,Choice Software,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3323,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shackled:licensed-from-as-printed:data-east,Data East,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3324,organisation,organisation:u-s-gold,U.S. Gold,assertion:wikipedia:list-of-zx-spectrum-games:shackled:publisher-as-printed:u-s-gold,U.S. Gold,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3325,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadow-dancer:developer-as-printed:images-ltd-dave-semmens-jim-kinlough-neil-crossley,"Images Ltd (Dave Semmens, Jim Kinlough, Neil Crossley)",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3326,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadow-dancer:licensed-from-as-printed:sega,Sega,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3327,organisation,organisation:u-s-gold,U.S. Gold,assertion:wikipedia:list-of-zx-spectrum-games:shadow-dancer:publisher-as-printed:u-s-gold,U.S. Gold,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3328,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadow-of-the-beast:developer-as-printed:ben-daglish,Ben Daglish,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3329,organisation,organisation:psygnosis,Psygnosis,assertion:wikipedia:list-of-zx-spectrum-games:shadow-of-the-beast:licensed-from-as-printed:psygnosis,Psygnosis,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3330,organisation,organisation:gremlin-graphics,Gremlin Graphics,assertion:wikipedia:list-of-zx-spectrum-games:shadow-of-the-beast:publisher-as-printed:gremlin-graphics,Gremlin Graphics,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3331,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadow-warriors:developer-as-printed:teque-software-development-mike-talbot-matt-furniss-mark-edwards,"Teque Software Development ( Mike Talbot , Matt Furniss, Mark Edwards)",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
