connection_id,entity_name,connection_type,place_name,status,confidence,source_magazine,issue_label,source_url
connection:source-item-globalnet-spot-by-fair-means-or-foul-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 1486,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-championship-3d-snooker-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5270,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-chinatown-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 6103,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-circus-games-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 1512,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-colin-the-cleaner-who-said-that-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 4110,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-combat-pack-3-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5610,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-dargons-crypt-venom-games:venom-games:candidate,Venom Games,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 4645,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-data-genie-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5398,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-dirt-track-racer-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4083,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-doc-crocs-outrageous-adventures-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5312,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-draconus-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1329,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-elvira-the-arcade-game-flair-software:flair-software:candidate,Flair Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6904,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-emlyn-hughes-arcade-quiz-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2451,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-emlyn-hughes-international-soccer-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2437,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-exterminator-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2614,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-f-1-tornado-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2659,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-fantastic-american-football-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2582,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-frankenstein-2000-icon-software:icon-software:probable,Icon Software,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 483,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-frontline-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2240,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-full-throttle-2-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4058,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-graeme-souness-soccer-manager-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5271,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-graham-goochs-test-cricket-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1849,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-helter-skelter-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2630,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-hit-pack-1-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5261,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-hit-pack-2-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5276,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-ian-bothams-test-match-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 5793,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-icon-graphix-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 721,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-impact-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1122,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-international-five-a-side-football-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5269,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-international-tennis-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5294,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-jocky-wilsons-compendium-of-darts-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4875,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-jocky-wilsons-darts-challenge-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1536,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-kawasaki-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5164,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
