queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
game-2172,game,game:zaxxon,Zaxxon,assertion:wikipedia:list-of-commodore-64-games-n-z:zaxxon:title-seed:zaxxon,Zaxxon,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2173,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zeppelin:title-seed:zeppelin,Zeppelin,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2174,game,game:zig-zag,Zig-Zag,assertion:wikipedia:list-of-commodore-64-games-n-z:zig-zag:title-seed:zig-zag,Zig Zag,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2175,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zim-sala-bim:title-seed:zim-sala-bim,Zim Sala Bim,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2176,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zoids-the-battle-begins:title-seed:zoids-the-battle-begins,Zoids: The Battle Begins,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2177,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zolo:title-seed:zolo,Zolo,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2178,game,game:zombi,Zombi,assertion:wikipedia:list-of-commodore-64-games-n-z:zombi:title-seed:zombi,Zombi,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2179,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zone-ranger:title-seed:zone-ranger,Zone Ranger,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2180,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zone-six:title-seed:zone-six,Zone Six,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2181,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zoom:title-seed:zoom,Zoom!,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
