Record_ID,Title,Platform,Source system,Source URL,Evidence status,Review status,Notes
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dallas:cases,DALLAS,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:danger-uxb:micropower,DANGER UXB,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:dano,DANO,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dare-devil-denis:visions,DARE DEVIL DENIS,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:darts:blue-ribbon,DARTS,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:daxis,DAXIS,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dead-or-alive:alternative,DEAD OR ALIVE,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:death,DEATH,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:deathstar:blue-ribbon-rr,DEATHSTAR,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:deathstar:superior-sc-rr,DEATHSTAR,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
