Issue_ID,Severity,Status,Entity,Source,Notes
issue:crash:056,Review,Open,publication:crash,https://www.crashonline.org.uk/56/index.htm,Issue-level bibliographic metadata only.
issue:crash:057,Review,Open,publication:crash,https://www.crashonline.org.uk/57/index.htm,Issue-level bibliographic metadata only.
issue:crash:058,Review,Open,publication:crash,https://www.crashonline.org.uk/58/index.htm,Issue-level bibliographic metadata only.
issue:crash:059,Review,Open,publication:crash,https://www.crashonline.org.uk/59/index.htm,Issue-level bibliographic metadata only.
issue:crash:060,Review,Open,publication:crash,https://www.crashonline.org.uk/60/index.htm,Issue-level bibliographic metadata only.
issue:crash:061,Review,Open,publication:crash,https://www.crashonline.org.uk/61/index.htm,Issue-level bibliographic metadata only.
issue:crash:062,Review,Open,publication:crash,https://www.crashonline.org.uk/62/index.htm,Issue-level bibliographic metadata only.
issue:crash:063,Review,Open,publication:crash,https://www.crashonline.org.uk/63/index.htm,Issue-level bibliographic metadata only.
issue:crash:064,Review,Open,publication:crash,https://www.crashonline.org.uk/64/index.htm,Issue-level bibliographic metadata only.
issue:crash:065,Review,Open,publication:crash,https://www.crashonline.org.uk/65/index.htm,Issue-level bibliographic metadata only.
issue:crash:066,Review,Open,publication:crash,https://www.crashonline.org.uk/66/index.htm,Issue-level bibliographic metadata only.
issue:crash:067,Review,Open,publication:crash,https://www.crashonline.org.uk/67/index.htm,Issue-level bibliographic metadata only.
issue:crash:068,Review,Open,publication:crash,https://www.crashonline.org.uk/68/index.htm,Issue-level bibliographic metadata only.
issue:crash:069,Review,Open,publication:crash,https://www.crashonline.org.uk/69/index.htm,Issue-level bibliographic metadata only.
issue:crash:070,Review,Open,publication:crash,https://www.crashonline.org.uk/70/index.htm,Issue-level bibliographic metadata only.
issue:crash:071,Review,Open,publication:crash,https://www.crashonline.org.uk/71/index.htm,Issue-level bibliographic metadata only.
issue:crash:072,Review,Open,publication:crash,https://www.crashonline.org.uk/72/index.htm,Issue-level bibliographic metadata only.
issue:crash:073,Review,Open,publication:crash,https://www.crashonline.org.uk/73/index.htm,Issue-level bibliographic metadata only.
issue:crash:074,Review,Open,publication:crash,https://www.crashonline.org.uk/74/index.htm,Issue-level bibliographic metadata only.
issue:crash:075,Review,Open,publication:crash,https://www.crashonline.org.uk/75/index.htm,Issue-level bibliographic metadata only.
issue:crash:076,Review,Open,publication:crash,https://www.crashonline.org.uk/76/index.htm,Issue-level bibliographic metadata only.
issue:crash:077,Review,Open,publication:crash,https://www.crashonline.org.uk/77/index.htm,Issue-level bibliographic metadata only.
issue:crash:078,Review,Open,publication:crash,https://www.crashonline.org.uk/78/index.htm,Issue-level bibliographic metadata only.
issue:crash:079,Review,Open,publication:crash,https://www.crashonline.org.uk/79/index.htm,Issue-level bibliographic metadata only.
issue:crash:080,Review,Open,publication:crash,https://www.crashonline.org.uk/80/index.htm,Issue-level bibliographic metadata only.
issue:crash:081,Review,Open,publication:crash,https://www.crashonline.org.uk/81/index.htm,Issue-level bibliographic metadata only.
issue:crash:082,Review,Open,publication:crash,https://www.crashonline.org.uk/82/index.htm,Issue-level bibliographic metadata only.
issue:crash:083,Review,Open,publication:crash,https://www.crashonline.org.uk/83/index.htm,Issue-level bibliographic metadata only.
issue:crash:084,Review,Open,publication:crash,https://www.crashonline.org.uk/84/index.htm,Issue-level bibliographic metadata only.
issue:crash:085,Review,Open,publication:crash,https://www.crashonline.org.uk/85/index.htm,Issue-level bibliographic metadata only.
issue:crash:086,Review,Open,publication:crash,https://www.crashonline.org.uk/86/index.htm,Issue-level bibliographic metadata only.
issue:crash:087,Review,Open,publication:crash,https://www.crashonline.org.uk/87/index.htm,Issue-level bibliographic metadata only.
issue:crash:088,Review,Open,publication:crash,https://www.crashonline.org.uk/88/index.htm,Issue-level bibliographic metadata only.
issue:crash:089,Review,Open,publication:crash,https://www.crashonline.org.uk/89/index.htm,Issue-level bibliographic metadata only.
issue:crash:090,Review,Open,publication:crash,https://www.crashonline.org.uk/90/index.htm,Issue-level bibliographic metadata only.
issue:crash:091,Review,Open,publication:crash,https://www.crashonline.org.uk/91/index.htm,Issue-level bibliographic metadata only.
issue:crash:092,Review,Open,publication:crash,https://www.crashonline.org.uk/92/index.htm,Issue-level bibliographic metadata only.
issue:crash:093,Review,Open,publication:crash,https://www.crashonline.org.uk/93/index.htm,Issue-level bibliographic metadata only.
issue:crash:094,Review,Open,publication:crash,https://www.crashonline.org.uk/94/index.htm,Issue-level bibliographic metadata only.
issue:crash:095,Review,Open,publication:crash,https://www.crashonline.org.uk/95/index.htm,Issue-level bibliographic metadata only.
issue:crash:096,Review,Open,publication:crash,https://www.crashonline.org.uk/96/index.htm,Issue-level bibliographic metadata only.
issue:crash:097,Review,Open,publication:crash,https://www.crashonline.org.uk/97/index.htm,Issue-level bibliographic metadata only.
issue:crash:098,Review,Open,publication:crash,https://www.crashonline.org.uk/98/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:001,Review,Open,publication:sinclair-user,https://sinclairuser.com/001/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:002,Review,Open,publication:sinclair-user,https://sinclairuser.com/002/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:003,Review,Open,publication:sinclair-user,https://sinclairuser.com/003/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:004,Review,Open,publication:sinclair-user,https://sinclairuser.com/004/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:005,Review,Open,publication:sinclair-user,https://sinclairuser.com/005/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:006,Review,Open,publication:sinclair-user,https://sinclairuser.com/006/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:007,Review,Open,publication:sinclair-user,https://sinclairuser.com/007/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:008,Review,Open,publication:sinclair-user,https://sinclairuser.com/008/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:009,Review,Open,publication:sinclair-user,https://sinclairuser.com/009/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:010,Review,Open,publication:sinclair-user,https://sinclairuser.com/010/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:011,Review,Open,publication:sinclair-user,https://sinclairuser.com/011/index.htm,Issue-level bibliographic metadata only.
issue:sinclair-user:012,Review,Open,publication:sinclair-user,https://sinclairuser.com/012/index.htm,Issue-level bibliographic metadata only.
