Record_ID,Title,Platform,Source system,Source URL,Evidence status,Review status,Notes
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:3-d-skramble,3-D Skramble,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:3d-construction-kit,3D Construction Kit,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:3d-glooper,3D Glooper,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:3d-tanx,3D Tanx,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:4-soccer-simulators,4 Soccer Simulators,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:4th-and-inches,4th & Inches,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:4x4-off-road-racing,4x4 Off-Road Racing,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:50-mission-crush,50 Mission Crush,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:5th-gear,5th Gear,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:720,720°,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:720-part-2,720° Part 2,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-n-z:a-nightmare-on-elm-street,A Nightmare on Elm Street,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(N%E2%80%93Z)&oldid=1344901139,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-n-z:a-question-of-sport,A Question of Sport,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(N%E2%80%93Z)&oldid=1344901139,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-n-z:a-view-to-a-kill,A View to a Kill,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(N%E2%80%93Z)&oldid=1344901139,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:abc-monday-night-football,ABC Monday Night Football,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:ace-air-combat-emulator,ACE - Air Combat Emulator,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:ace-2088,ACE 2088,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adidas-championship-football,ADIDAS Championship Football,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:alf-in-the-color-caves,ALF in the Color Caves,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:alf-the-first-adventure,ALF: The First Adventure,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:arcos,ARCOS,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:atc-air-traffic-controller,ATC - Air Traffic Controller,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:atf,ATF,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:atv-simulator,ATV Simulator,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:aaargh,Aaargh!,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:aardvark,Aardvark,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:abrakadabra,Abrakadabra,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:accolades-comics,Accolade's Comics,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:ace-2,Ace 2,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:ace-harrier,Ace Harrier,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:ace-of-aces,Ace of Aces,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:acrojet,Acrojet,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:action-biker,Action Biker,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:action-fighter,Action Fighter,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:action-force,Action Force,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adam-nortons-ultimate-soccer,Adam Norton's Ultimate Soccer,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:addicta-ball,Addicta Ball,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adrenalin,Adrenalin,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adult-poker,Adult Poker,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:advance-to-boardwalk,Advance to Boardwalk,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:advanced-basketball-simulator,Advanced Basketball Simulator,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:advanced-dungeons-and-dragons-heroes-of-the-lance,Advanced Dungeons & Dragons: Heroes of the Lance,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:advanced-pinball-simulator,Advanced Pinball Simulator,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adventure-construction-set,Adventure Construction Set,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adventure-master,Adventure Master,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adventure-quest,Adventure Quest,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adventureland,Adventureland,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:wikipedia-platform-lists:list-of-commodore-64-games-a-m:adventures-in-narnia-dawn-treader,Adventures in Narnia: Dawn Treader,Commodore 64,Wikipedia,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(A%E2%80%93M)&oldid=1358813372,Title-only seed,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
