assertion:wikipedia:list-of-zx-spectrum-games:killer-kong:title-seed:killer-kong,wikipedia,game,Killer Kong,title_seed,game,Killer Kong,ZX Spectrum,1983,Title-only seed,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killer-kong
assertion:wikipedia:list-of-zx-spectrum-games:king-arthurs-quest:developer-as-printed:five-ways-software,wikipedia,game,King Arthur's Quest,developer_as_printed,organisation,Five Ways Software,ZX Spectrum,1984,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:king-arthurs-quest
assertion:wikipedia:list-of-zx-spectrum-games:king-arthurs-quest:publisher-as-printed:hill-macgibbon,wikipedia,game,King Arthur's Quest,publisher_as_printed,organisation,Hill MacGibbon,ZX Spectrum,1984,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:king-arthurs-quest
assertion:wikipedia:list-of-zx-spectrum-games:king-arthurs-quest:release-date-as-printed:1984,wikipedia,game,King Arthur's Quest,release_date_as_printed,date,1984,ZX Spectrum,1984,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:king-arthurs-quest
assertion:wikipedia:list-of-zx-spectrum-games:king-arthurs-quest:title-seed:king-arthurs-quest,wikipedia,game,King Arthur's Quest,title_seed,game,King Arthur's Quest,ZX Spectrum,1984,Title-only seed,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:king-arthurs-quest
assertion:wikipedia:list-of-zx-spectrum-games:kingdom-of-krell-the:developer-as-printed:steve-screech,wikipedia,game,"Kingdom of Krell, The",developer_as_printed,organisation,Steve Screech,ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kingdom-of-krell-the
assertion:wikipedia:list-of-zx-spectrum-games:kingdom-of-krell-the:publisher-as-printed:anco-software,wikipedia,game,"Kingdom of Krell, The",publisher_as_printed,organisation,Anco Software,ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kingdom-of-krell-the
assertion:wikipedia:list-of-zx-spectrum-games:kingdom-of-krell-the:release-date-as-printed:1987,wikipedia,game,"Kingdom of Krell, The",release_date_as_printed,date,1987,ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kingdom-of-krell-the
assertion:wikipedia:list-of-zx-spectrum-games:kingdom-of-krell-the:title-seed:kingdom-of-krell-the,wikipedia,game,"Kingdom of Krell, The",title_seed,game,"Kingdom of Krell, The",ZX Spectrum,1987,Title-only seed,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kingdom-of-krell-the
assertion:wikipedia:list-of-zx-spectrum-games:kirel:developer-as-printed:siegfried-kurtz,wikipedia,game,Kirel,developer_as_printed,organisation,Siegfried Kurtz,ZX Spectrum,1986,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kirel
assertion:wikipedia:list-of-zx-spectrum-games:kirel:publisher-as-printed:addictive-games,wikipedia,game,Kirel,publisher_as_printed,organisation,Addictive Games,ZX Spectrum,1986,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kirel
assertion:wikipedia:list-of-zx-spectrum-games:kirel:release-date-as-printed:1986,wikipedia,game,Kirel,release_date_as_printed,date,1986,ZX Spectrum,1986,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kirel
